Nome azienda,Città,Indirizzo,Email,Telefono,Campo di lavoro,Categoria,Sito
Agenzia Prima Pagina,Cesena,"Piazzale E. Vanoni, 100  47522 Cesena (FC)",amministrazione@agenziaprimapagina.it,0547 24284,Ufficio stampa,PR / Comunicazione,https://www.agenziaprimapagina.it/
La Madia Comunicazione,Cesena,"Via Giovanni Pacchioni, 365  47521 Cesena (FC)",,0547 23821,Ufficio stampa,PR / Comunicazione,https://www.lamadiacomunicazione.it/
Lelli & Associati srl,Cesena,"Via L. Longo, 65  47522 Cesena (FC)",lelli@lellieassociati.it,+39 0547 600642,Marketing B2B e comunicazione,PR / Comunicazione,https://www.lellieassociati.it/contatti/
Matilde Studio,Cesena,"Piazza Aguselli 14, 47521",info@matildestudio.com,0547 1901210,Comunicazione integrata e design,PR / Comunicazione,https://www.matildestudio.com/
Smarti,Cesena,"Via Aldini, 11  47521 Cesena (FC)",info@smarti.it,+39 0547 21 244,Agenzia comunicazione,PR / Comunicazione,https://www.smarti.it/contatti/
Studio Leonardo snc,Cesena,"Viale G. Oberdan, 674  47521 Cesena (FC)",info@studioleonardo.com,+39 0547 645303,Agenzia comunicazione,PR / Comunicazione,https://www.studioleonardo.com/contatti/
BRG communication S.R.L.,Cesenatico,"Via Leonardo da Vinci, 9  Cesenatico (FC)",info@brg.it,+39 0547 87244,Digital agency,PR / Comunicazione,https://www.brg.it/contattaci/
Living (Living sas),Cesenatico,"Via Squero, 63  Cesenatico (FC)",marketing@livingcesenatico.it,328 3631089,Comunicazione ufficio stampa social,PR / Comunicazione,https://livingcomunica.it/contatti/
Officina Creativa,Cesenatico,"Viale De Amicis, 34  47042 Cesenatico (FC)",info@on-net.it,0547 1908250,Comunicazione digitale e web agency,PR / Comunicazione,https://www.officina-creativa.it/
PorporaStudio,Cesenatico,"Viale Melozzo da Forlç, 19  47042 Cesenatico (FC)",info@porporastudio.com,+39 347 3178348,Grafica e web,PR / Comunicazione,https://www.porporastudio.com/
Omnia Comunicazione,Fano (PU),"Via Einaudi 74, 61032",info@omniacomunicazione.it,0721 855872,Comunicazione ufficio stampa eventi,PR / Comunicazione,https://www.omniacomunicazione.it/
Dexanet Pesaro,Pesaro,,,,Agenzia pubblicitÖ,PR / Comunicazione,https://www.dexanet.com/agenzia-pubblicita-pesaro/
Ohana Comunicazione,Pesaro,"Str. dei Platani, 61  61122 Pesaro (PU)",info@ohanacomunicazione.it,+39 350 568 0517,PubblicitÖ branding e comunicazione,PR / Comunicazione,https://ohanacomunicazione.it/contatti/
Pesaro Comunicazione,Pesaro,"Via Liguria, 77  61122 Pesaro (PU)",info@pesarocomunicazione.it,+39 0721 582145,Social media e comunicazione,PR / Comunicazione,https://www.pesarocomunicazione.it/contatti/
Quartopiano Comunicazione,Pesaro,"Via Barignani 68, 61121",info@quartopianocomunicazione.it,0721 67327,Web agency e comunicazione digitale,PR / Comunicazione,https://www.quartopianocomunicazione.it/
Studio 83 di Piovaticci Stefano,Pesaro,"Via Antonio Bracci, 14  61122 Pesaro (PU)",info@studio83pesaro.com,+39 0721 201498,Grafica pubblicitaria,PR / Comunicazione,https://www.studio83pesaro.it/contatti
EA Comunicazione Eventi,Riccione,"Via Adriatica, 83  47838 Riccione (RN)",info@eacomunicazione.it,0541 316207,Comunicazione eventi,PR / Comunicazione,https://www.eacomunicazione.it/contatti-ea-comunicazione-eventi/
In3pida,Riccione,"Viale Sardegna, 2/4  47838 Riccione (RN)",info@in3pida.it,350 1010623,Web marketing,PR / Comunicazione,https://www.in3pida.it/
Kreare.net,Riccione,"Viale Diaz, 1  47838 Riccione (RN)",info@kreare.net,0541 1648229,Marketing e comunicazione,PR / Comunicazione,https://www.kreare.net/
Pulse Immagine e Comunicazione,Riccione,"Via San Lorenzo 26, 47838",info@pulseonweb.com,339 3668683,Comunicazione PR e ufficio stampa,PR / Comunicazione,https://www.pulseonweb.com
Radio Bakery,Riccione,"Via Don Giovanni Minzoni, 11  47838 Riccione (RN)",info@radiobakery.it,0541 1740764,Content e digital,PR / Comunicazione,https://www.radiobakery.it/
Retorica Comunicazione snc,Riccione,"Viale Ceccarini, 200  47838 Riccione (RN)",info@retorica.net,+39 0541 691449,Marketing e comunicazione,PR / Comunicazione,https://www.retorica.net/contatti/
Tattica ? Progetti di comunicazione,Riccione,"Via Giulio Cesare, 91  Riccione (RN)",info@tatticadv.it,0541 613133,Agenzia comunicazione,PR / Comunicazione,https://www.tatticadv.it/contatti-tattica.html
Unconventional Studio,Riccione,"Piazzale della Stazione, 5  Riccione (RN)",info@unconventionalstudio.it,+39 339 6824132,Agenzia comunicazione,PR / Comunicazione,https://www.unconventionalstudio.it/contatti/
Agenzia NFC (Nuova Fonte Creativa),Rimini,,,,Agenzia creativa,PR / Comunicazione,http://www.agenzianfc.com
Agenzia Piras,Rimini,"Via Circonvallazione Nuova, 57/C  47923 Rimini (RN)",contact@agenziapiras.com,0541 776600,Comunicazione integrata e pubblicitÖ,PR / Comunicazione,https://www.tuttiaffari.com/agenzia-piras-comunicazione-e-marketing-0541-776600
Audio Tre,Rimini,,,,Agenzia comunicazione,PR / Comunicazione,https://audiotre.com
Fucina798,Rimini,,,,Ufficio stampa,PR / Comunicazione,https://fucina798.com
Immaginificio,Rimini,"Viale Carlo Matteucci 16, 47921",,0541 793222,Comunicazione grafica e web marketing,PR / Comunicazione,https://www.immaginificio.com/
Kamikaze Graphic Design,Rimini,"Via Aurelio Saffi, 37  47923 Rimini (RN)",rosadesain@hotmail.it,392 3936834,Grafica e web design,PR / Comunicazione,https://www.commerciantirimini.it/kamikaze-graphic-design/
Laboratorio Creativo Up,Rimini,"Via Montefeltro, 66  47923 Rimini (RN)",info@comunicazioneprogettazione.com,0541 1743087,Agenzia comunicazione,PR / Comunicazione,https://comunicazioneprogettazione.com/
Novacom,Rimini,"Piazza Malatesta, Rimini",,,Ufficio stampa,PR / Comunicazione,https://www.grupponovacom.it/ufficio-stampa/
Nuova Comunicazione ? Gruppo Novacom,Rimini,"Piazza Malatesta, 15  47923 Rimini (RN)",ravasio@nuovacomunicazione.it,+39 348 245 2508,Ufficio stampa e comunicazione,PR / Comunicazione,https://www.nuovacomunicazione.it/contatti/
Obliqua (Edita srl),Rimini,"Via Flaminia, 138  47923 Rimini (RN)",info@obliqua.it,0541 790882,Agenzia comunicazione,PR / Comunicazione,https://www.obliqua.it/contatti/
